step,x_center,y_center,width,height,area,label,time
180,18.0,12.0,10,24,130.5,Black,0.03357553482055664
181,106.0,51.5,24,41,766.0,Blue,0.03316497802734375
181,54.0,51.5,66,53,2031.5,Blue,0.03316497802734375
181,137.0,49.0,30,32,670.5,Green,0.03316497802734375
181,100.5,14.0,25,28,178.5,Red,0.03316497802734375
181,135.5,16.0,49,32,713.5,Black,0.03316497802734375
182,106.0,51.5,24,41,766.0,Blue,0.033391475677490234
182,54.0,51.5,66,53,2031.5,Blue,0.033391475677490234
182,137.0,49.0,30,32,670.5,Green,0.033391475677490234
182,100.5,14.0,25,28,178.5,Red,0.033391475677490234
182,135.5,16.0,49,32,713.5,Black,0.033391475677490234
183,118.5,52.0,53,44,1101.0,Blue,0.03317141532897949
183,65.5,51.5,33,51,960.0,Blue,0.03317141532897949
183,154.5,51.0,11,36,296.5,Green,0.03317141532897949
183,123.0,14.0,28,28,270.0,Red,0.03317141532897949
183,147.0,15.5,26,31,613.0,Black,0.03317141532897949
184,118.5,52.0,53,44,1101.0,Blue,0.03465461730957031
184,65.5,51.5,33,51,960.0,Blue,0.03465461730957031
184,154.5,51.0,11,36,296.5,Green,0.03465461730957031
184,123.0,14.0,28,28,270.0,Red,0.03465461730957031
184,147.0,15.5,26,31,613.0,Black,0.03465461730957031
185,71.5,64.5,17,25,114.5,Blue,0.03318476676940918
185,124.0,51.0,72,50,2531.5,Blue,0.03318476676940918
185,13.5,47.5,27,51,590.0,Red,0.03318476676940918
185,150.5,12.5,19,25,250.0,Red,0.03318476676940918
186,71.5,64.5,17,25,114.5,Blue,0.03348064422607422
186,124.0,51.0,72,50,2531.5,Blue,0.03348064422607422
186,13.5,47.5,27,51,590.0,Red,0.03348064422607422
186,150.5,12.5,19,25,250.0,Red,0.03348064422607422
187,131.0,50.5,58,53,1984.5,Blue,0.06973528861999512
187,15.0,114.5,30,11,155.0,Green,0.06973528861999512
187,30.5,51.0,61,48,2432.5,Red,0.06973528861999512
188,131.0,50.5,58,53,1984.5,Blue,0.03338146209716797
188,15.0,114.5,30,11,155.0,Green,0.03338146209716797
188,30.5,51.0,61,48,2432.5,Red,0.03338146209716797
189,147.0,59.5,26,41,919.0,Blue,0.06612730026245117
189,38.5,106.0,77,28,499.5,Green,0.06612730026245117
189,42.5,56.0,65,34,1941.5,Red,0.06612730026245117
189,11.0,8.5,22,17,281.0,Black,0.06612730026245117
190,147.0,59.5,26,41,919.0,Blue,0.032999277114868164
190,38.5,106.0,77,28,499.5,Green,0.032999277114868164
190,42.5,56.0,65,34,1941.5,Red,0.032999277114868164
190,11.0,8.5,22,17,281.0,Black,0.032999277114868164
195,47.0,55.5,30,27,355.0,Blue,0.06914806365966797
196,47.0,55.5,30,27,355.0,Blue,0.03160381317138672
197,145.0,51.0,18,36,277.0,Blue,0.06403756141662598
198,145.0,51.0,18,36,277.0,Blue,0.03198814392089844
199,132.0,51.5,56,47,2327.0,Red,0.06414604187011719
