step,gs0,gs1,gs2,
968,497,392,421,
969,510,362,433,
970,510,362,433,
971,520,368,412,
972,520,368,412,
973,504,384,442,
974,504,384,442,
975,504,392,424,
976,504,392,424,
977,498,374,427,
978,498,374,427,
979,523,368,419,
980,523,368,419,
981,515,388,448,
982,511,378,444,
983,511,378,444,
984,514,387,432,
985,514,387,432,
986,495,383,441,
987,495,383,441,
988,485,388,413,
989,485,388,413,
990,684,397,442,
991,684,397,442,
992,928,561,466,
993,928,561,466,
994,937,924,830,
995,937,924,830,
996,938,935,934,
997,938,935,934,
998,937,935,941,
999,937,935,941,
1000,938,935,941,
1001,938,935,941,
1002,937,935,941,
1003,937,935,941,
1004,937,935,941,
1005,937,935,941,
1006,939,936,941,
1007,939,936,941,
1008,937,935,941,
1009,937,935,941,
1010,937,937,941,
1011,937,937,941,
1012,937,935,941,
1013,937,935,941,
1014,939,936,941,
1015,939,936,941,
1016,939,936,939,
1017,939,936,939,
1018,938,936,939,
1019,938,936,939,
1020,938,936,939,
1021,938,936,939,
1022,937,936,939,
1023,937,936,939,
1024,938,937,939,
1025,938,937,939,
1026,937,936,937,
1027,937,936,937,
1028,938,936,939,
1029,938,936,939,
1030,938,936,939,
1031,938,936,939,
1032,937,936,938,
1033,937,936,938,
1034,937,936,939,
1035,937,936,939,
1036,937,935,938,
1037,937,935,938,
1038,938,936,937,
1039,938,936,937,
1040,936,936,937,
1041,937,936,939,
1042,937,936,939,
1043,937,935,937,
1044,937,935,937,
1045,935,935,938,
1046,935,935,938,
1047,937,935,938,
1048,937,935,938,
1049,937,935,938,
1050,937,935,938,
1051,936,934,936,
1052,936,934,936,
1053,937,935,938,
1054,937,935,938,
1055,937,933,935,
1056,937,933,935,
1057,936,933,936,
1058,936,933,936,
1059,937,935,938,
1060,937,935,938,
1061,937,935,938,
1062,937,935,938,
1063,937,935,938,
1064,937,935,938,
1065,937,934,937,
1066,937,934,937,
1067,937,935,938,
1068,937,935,938,
1069,936,935,939,
1070,936,935,939,
1071,937,936,941,
1072,937,936,941,
1073,938,936,941,
1074,938,936,941,
1075,938,936,941,
1076,938,936,941,
1077,937,937,942,
1078,937,937,942,
1079,938,939,942,
1080,938,939,942,
1081,939,939,942,
1082,940,940,939,
1083,940,940,939,
1084,937,936,939,
1085,937,936,939,
1086,940,941,939,
1087,940,941,939,
1088,940,938,939,
1089,940,938,939,
1090,941,939,939,
1091,941,939,939,
1092,941,939,938,
1093,941,939,938,
1094,941,938,939,
1095,941,938,939,
1096,942,938,938,
1097,942,938,938,
1098,942,938,941,
1099,942,938,941,
